グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
G63 Edition 55 (左ハンドル) (5),2232〜2524万円,2750.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59933/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Edition 55 (左ハンドル),AMG
G63 Magno Hero Edition (3),2389〜2450万円,2860.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59934/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Magno Hero Edition,AMG
G63 Magno Hero Edition (左ハンドル) (13),2293〜3020万円,2860.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59935/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Magno Hero Edition (左ハンドル),AMG
G63 Grand Edition (8),2674〜3199万円,3200.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64615/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Grand Edition,AMG
G63 Grand Edition (左ハンドル) (1),2740万円,3200.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64616/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Grand Edition (左ハンドル),AMG
G63 (76),1591〜3370万円,2849.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45882/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63,AMG
G63 (左ハンドル) (75),1588〜3780万円,2849.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45881/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 (左ハンドル),AMG
G63 Launch Edition (13),2835〜3846万円,3080.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65708/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Launch Edition,AMG
G63 Launch Edition (左ハンドル) (9),2801〜3200万円,3080.0,3982cc,5,4WD,9AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65709/,"Gクラス 2018年モデル
                                        (288)",Gクラス,2018年モデル,G63 Launch Edition (左ハンドル),AMG
G55 Long 4WD (5),460〜788万円,1480.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17275/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G55 Long 4WD,AMG
G55 Long (左ハンドル) (6),478〜780万円,1533.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17276/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G55 Long (左ハンドル),AMG
G55 Long (3),633〜788万円,1780.0,5438cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=23686/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G55 Long,AMG
G63 (1),1435万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37410/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G63,AMG
G63 (左ハンドル) (32),799〜2313万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25738/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G63 (左ハンドル),AMG
G63 50th Anniversary Edition (2),1063〜1118万円,2220.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37257/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G63 50th Anniversary Edition,AMG
G63 Exclusive Edition (3),1179〜1318万円,2300.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=44017/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G63 Exclusive Edition,AMG
G65 (1),2013万円,3900.0,5977cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25739/,"Gクラス 1995年モデル
                                        (60)",Gクラス,1995年モデル,G65,AMG
GLC 43 4MATIC (7),935〜1073万円,1229.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=64648/,"GLCクラス 2024年モデル
                                        (37)",GLCクラス,2024年モデル,GLC 43 4MATIC,AMG
GLC 43 4MATIC Edition Dynamic+ (1),1550万円,1481.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=67127/,"GLCクラス 2024年モデル
                                        (37)",GLCクラス,2024年モデル,GLC 43 4MATIC Edition Dynamic+,AMG
