,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
46,CLA45 4MATIC Shooting Brake OrangeArt Edition (1),258.8万円,862.0,1991cc,5,4WD,−,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=41901/UCGrade=33107/,"CLAクラスシューティングブレーク 2015年モデル
                                        (20)",CLAクラスシューティングブレーク,2015年モデル,CLA45 4MATIC Shooting Brake OrangeArt Edition,AMG
47,G63 Edition Matt Black (7),1775〜2300万円,2363.0,3982cc,5,4WD,9AT,6.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=48711/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Edition Matt Black,AMG
48,G63 STRONGER THAN TIME Edition (6),1973〜2340万円,2450.0,3982cc,5,4WD,9AT,6.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=51049/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 STRONGER THAN TIME Edition,AMG
49,G63 manufaktur Edition (10),2021〜2800万円,2480.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=52352/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 manufaktur Edition,AMG
50,G63 Edition 55 (5),2312〜2680万円,2750.0,3982cc,5,4WD,9AT,7.2km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59932/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Edition 55,AMG
51,G63 Edition 55 (左ハンドル) (6),2330〜2708万円,2750.0,3982cc,5,4WD,9AT,7.2km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59933/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Edition 55 (左ハンドル),AMG
52,G63 Magno Hero Edition (5),2290〜2519万円,2860.0,3982cc,5,4WD,9AT,7.2km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59934/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Magno Hero Edition,AMG
53,G63 Magno Hero Edition (左ハンドル) (12),2447〜2745万円,2860.0,3982cc,5,4WD,9AT,7.2km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=59935/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Magno Hero Edition (左ハンドル),AMG
54,G63 Grand Edition (11),2711〜3365万円,3200.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64615/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Grand Edition,AMG
55,G63 Grand Edition (左ハンドル) (4),2849〜3494万円,3200.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=64616/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Grand Edition (左ハンドル),AMG
56,G63 (74),1371〜3245万円,2849.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45882/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63,AMG
57,G63 (左ハンドル) (87),1680〜3800万円,2849.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=45881/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 (左ハンドル),AMG
